candidate_id,agent_batch_id,review_role,run_id,recommendation,trait_name,dataset_id,value_lower,value_lower_inclusive,value_upper,value_upper_inclusive,scale_factor,n_matched_records,confidence,rationale,evidence_reference,conflicts_or_uncertainty
882b650269ae27ebf65e472317ab49a965e7c6cd522c8b4bbd90d2abcef75db8,stem_specific_density_01,reviewer_a,pilot_20260814T200527Z_a,insufficient_evidence,,,,,,,,,low,The broad two-trait and 723-dataset distribution has low records but no source-specific evidence identifies an erroneous atomic subset.,pilot_candidate_recommendations.csv;pilot_dataset_evidence.csv;pilot_record_evidence.csv;pilot_historical_comparison.csv,Historical summary is stable but the stated drift signal and 80 taxon outliers remain unexplained.
04e42cc9c9ef231aa26c4d6c264b5467d1bbfad11a0f7077a5407d96436f0ff6,stem_specific_density_01,reviewer_a,pilot_20260814T200527Z_a,insufficient_evidence,,,,,,,,,low,The extreme maximum is not accompanied by source documentation establishing an erroneous unit or an atomic invalid range.,pilot_candidate_recommendations.csv;pilot_dataset_evidence.csv;pilot_record_evidence.csv;pilot_historical_comparison.csv,Stable historical summary and mixed dataset values do not validate a correction.
8fc7e84e1beb36ac1a8a4b033f1974a5941034552f8606703a44c5117ed47aa1,stem_specific_density_01,reviewer_a,pilot_20260814T200527Z_a,insufficient_evidence,,,,,,,,,low,The historical scale suggestion and large values are hypotheses only because no supplied dataset documentation validates a conversion or selects records atomically.,pilot_candidate_recommendations.csv;pilot_dataset_evidence.csv;pilot_record_evidence.csv;pilot_historical_comparison.csv,The apparent ratio is not sufficiently close to a unit factor and historical review is not independent source evidence.
69ee254030c9f14b3c40edde335768c46095fb2d86e24637b0524038362d96f7,stem_specific_density_01,reviewer_a,pilot_20260814T200527Z_a,insufficient_evidence,,,,,,,,,low,The recovered less-than-0.6 exclusion matches one record but lacks independent source evidence that the value is erroneous.,pilot_candidate_recommendations.csv;pilot_dataset_evidence.csv;pilot_record_evidence.csv;pilot_proposal_diagnostics.csv;pilot_historical_comparison.csv,Recovered selector is a hypothesis and the remaining two-trait distribution is plausible.
63a2858bcacf39765a072500fec5b768aa9246d988c49409a6e5e40c44954a0f,stem_specific_density_01,reviewer_a,pilot_20260814T200527Z_a,insufficient_evidence,,,,,,,,,low,The highly dispersed 13-dataset values require source-level unit and measurement-method evidence before an exclusion or scaling decision.,pilot_candidate_recommendations.csv;pilot_dataset_evidence.csv;pilot_record_evidence.csv;pilot_historical_comparison.csv,Historical summary changed and no supplied documentation identifies the low or high records as errors.
4fb581a31aa4a894a0a902c7515e2a4079508f27eb98d34e6066e36a82898973,stem_specific_density_01,reviewer_a,pilot_20260814T200527Z_a,insufficient_evidence,,,,,,,,,low,The recovered less-than-0.6 exclusion matches four records but has no independent supporting source evidence.,pilot_candidate_recommendations.csv;pilot_dataset_evidence.csv;pilot_record_evidence.csv;pilot_proposal_diagnostics.csv;pilot_historical_comparison.csv,Recovered threshold is not justified by distributional evidence alone and two trait labels occur.
98a14f5fa2441e92088bb2cfee58c209c36e8cf5ab26c7d7ce571ecabb9b0030,stem_specific_density_01,reviewer_a,pilot_20260814T200527Z_a,insufficient_evidence,,,,,,,,,low,The recovered less-than-0.3 exclusion would match 1120 records so source-specific unit documentation is required before making a high-impact group correction.,pilot_candidate_recommendations.csv;pilot_dataset_evidence.csv;pilot_record_evidence.csv;pilot_proposal_diagnostics.csv;pilot_historical_comparison.csv,Historical summary changed and the recovered selector would remove nearly all records without validation.
ab49e11435bf9b1af0452d808667222bc58347d55cd34b0d38a10645a3e3472a,stem_specific_density_01,reviewer_a,pilot_20260814T200527Z_a,insufficient_evidence,,,,,,,,,low,The cross-dataset range spans several orders of magnitude but no supplied source documentation establishes a common unit error.,pilot_candidate_recommendations.csv;pilot_dataset_evidence.csv;pilot_record_evidence.csv;pilot_historical_comparison.csv,The historical scale suggestion is not independently validated and the automated ratio test is negative.
8b5318dc539d90a76a31a9692784fd9e461d55ac43f2826f34fc60eae3129e46,stem_specific_density_01,reviewer_a,pilot_20260814T200527Z_a,insufficient_evidence,,,,,,,,,low,The recovered greater-than-300 exclusion matches one record but no source evidence confirms that it is invalid rather than a unit-specific observation.,pilot_candidate_recommendations.csv;pilot_dataset_evidence.csv;pilot_record_evidence.csv;pilot_proposal_diagnostics.csv;pilot_historical_comparison.csv,Recovered selector has only one match and the evidence packet does not document its provenance or unit.
caece8493dbff8bb31f0bc7100eb5e4b92b5dc9667b82a8cfac7f196932c71e0,stem_specific_density_01,reviewer_a,pilot_20260814T200527Z_a,insufficient_evidence,,,,,,,,,low,An apparent 100-fold dataset pattern needs source-specific documentation before applying any scale factor or exclusion.,pilot_candidate_recommendations.csv;pilot_dataset_evidence.csv;pilot_record_evidence.csv;pilot_historical_comparison.csv,Automated unit pattern is plausible but historical summary changed and no confirmed dataset unit is supplied.
