"candidate_id","agent_batch_id","review_role","run_id","recommendation","trait_name","dataset_id","value_lower","value_lower_inclusive","value_upper","value_upper_inclusive","scale_factor","n_matched_records","confidence","rationale","evidence_reference","conflicts_or_uncertainty"
"882b650269ae27ebf65e472317ab49a965e7c6cd522c8b4bbd90d2abcef75db8","stem_specific_density_01","adjudicator","pilot_20260814T202200Z_adj","insufficient_evidence","","","","","","","","","agent_consensus","Both accepted blind reviews identically recommend insufficient_evidence without a correction selector. Deterministic outcome 'investigate_historical_drift' and historical comparison 'aligned_review' do not provide source documentation for an exclusion or scale decision.","pilot_candidate_recommendations.csv; pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_proposal_diagnostics.csv; pilot_historical_comparison.csv","No disagreement in recommendation or correction-selector fields between the two accepted blind reviews. Possible unit pattern: FALSE; historical summary stable: TRUE; current evidence remains distributional rather than source-unit evidence."
"04e42cc9c9ef231aa26c4d6c264b5467d1bbfad11a0f7077a5407d96436f0ff6","stem_specific_density_01","adjudicator","pilot_20260814T202200Z_adj","insufficient_evidence","","","","","","","","","agent_consensus","Both accepted blind reviews identically recommend insufficient_evidence without a correction selector. Deterministic outcome 'investigate_historical_drift' and historical comparison 'aligned_review' do not provide source documentation for an exclusion or scale decision.","pilot_candidate_recommendations.csv; pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_proposal_diagnostics.csv; pilot_historical_comparison.csv","No disagreement in recommendation or correction-selector fields between the two accepted blind reviews. Possible unit pattern: FALSE; historical summary stable: TRUE; current evidence remains distributional rather than source-unit evidence."
"8fc7e84e1beb36ac1a8a4b033f1974a5941034552f8606703a44c5117ed47aa1","stem_specific_density_01","adjudicator","pilot_20260814T202200Z_adj","insufficient_evidence","","","","","","","","","agent_consensus","Both accepted blind reviews identically recommend insufficient_evidence without a correction selector. Deterministic outcome 'investigate_historical_drift' and historical comparison 'changed_or_more_conservative' do not provide source documentation for an exclusion or scale decision.","pilot_candidate_recommendations.csv; pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_proposal_diagnostics.csv; pilot_historical_comparison.csv","No disagreement in recommendation or correction-selector fields between the two accepted blind reviews. Possible unit pattern: FALSE; historical summary stable: TRUE; current evidence remains distributional rather than source-unit evidence."
"69ee254030c9f14b3c40edde335768c46095fb2d86e24637b0524038362d96f7","stem_specific_density_01","adjudicator","pilot_20260814T202200Z_adj","insufficient_evidence","","","","","","","","","agent_consensus","Both accepted blind reviews identically recommend insufficient_evidence without a correction selector. Deterministic outcome 'validate_recovered_proposal' and historical comparison 'aligned_review' do not provide source documentation for an exclusion or scale decision.","pilot_candidate_recommendations.csv; pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_proposal_diagnostics.csv; pilot_historical_comparison.csv","No disagreement in recommendation or correction-selector fields between the two accepted blind reviews. Possible unit pattern: FALSE; historical summary stable: TRUE; current evidence remains distributional rather than source-unit evidence."
"63a2858bcacf39765a072500fec5b768aa9246d988c49409a6e5e40c44954a0f","stem_specific_density_01","adjudicator","pilot_20260814T202200Z_adj","insufficient_evidence","","","","","","","","","agent_consensus","Both accepted blind reviews identically recommend insufficient_evidence without a correction selector. Deterministic outcome 'investigate_historical_drift' and historical comparison 'aligned_review' do not provide source documentation for an exclusion or scale decision.","pilot_candidate_recommendations.csv; pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_proposal_diagnostics.csv; pilot_historical_comparison.csv","No disagreement in recommendation or correction-selector fields between the two accepted blind reviews. Possible unit pattern: FALSE; historical summary stable: FALSE; current evidence remains distributional rather than source-unit evidence."
"4fb581a31aa4a894a0a902c7515e2a4079508f27eb98d34e6066e36a82898973","stem_specific_density_01","adjudicator","pilot_20260814T202200Z_adj","insufficient_evidence","","","","","","","","","agent_consensus","Both accepted blind reviews identically recommend insufficient_evidence without a correction selector. Deterministic outcome 'validate_recovered_proposal' and historical comparison 'aligned_review' do not provide source documentation for an exclusion or scale decision.","pilot_candidate_recommendations.csv; pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_proposal_diagnostics.csv; pilot_historical_comparison.csv","No disagreement in recommendation or correction-selector fields between the two accepted blind reviews. Possible unit pattern: FALSE; historical summary stable: TRUE; current evidence remains distributional rather than source-unit evidence."
"98a14f5fa2441e92088bb2cfee58c209c36e8cf5ab26c7d7ce571ecabb9b0030","stem_specific_density_01","adjudicator","pilot_20260814T202200Z_adj","insufficient_evidence","","","","","","","","","agent_consensus","Both accepted blind reviews identically recommend insufficient_evidence without a correction selector. Deterministic outcome 'validate_recovered_proposal' and historical comparison 'aligned_scale_review' do not provide source documentation for an exclusion or scale decision.","pilot_candidate_recommendations.csv; pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_proposal_diagnostics.csv; pilot_historical_comparison.csv","No disagreement in recommendation or correction-selector fields between the two accepted blind reviews. Possible unit pattern: FALSE; historical summary stable: FALSE; current evidence remains distributional rather than source-unit evidence."
"ab49e11435bf9b1af0452d808667222bc58347d55cd34b0d38a10645a3e3472a","stem_specific_density_01","adjudicator","pilot_20260814T202200Z_adj","insufficient_evidence","","","","","","","","","agent_consensus","Both accepted blind reviews identically recommend insufficient_evidence without a correction selector. Deterministic outcome 'investigate_historical_drift' and historical comparison 'changed_or_more_conservative' do not provide source documentation for an exclusion or scale decision.","pilot_candidate_recommendations.csv; pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_proposal_diagnostics.csv; pilot_historical_comparison.csv","No disagreement in recommendation or correction-selector fields between the two accepted blind reviews. Possible unit pattern: FALSE; historical summary stable: TRUE; current evidence remains distributional rather than source-unit evidence."
"8b5318dc539d90a76a31a9692784fd9e461d55ac43f2826f34fc60eae3129e46","stem_specific_density_01","adjudicator","pilot_20260814T202200Z_adj","insufficient_evidence","","","","","","","","","agent_consensus","Both accepted blind reviews identically recommend insufficient_evidence without a correction selector. Deterministic outcome 'validate_recovered_proposal' and historical comparison 'aligned_review' do not provide source documentation for an exclusion or scale decision.","pilot_candidate_recommendations.csv; pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_proposal_diagnostics.csv; pilot_historical_comparison.csv","No disagreement in recommendation or correction-selector fields between the two accepted blind reviews. Possible unit pattern: FALSE; historical summary stable: TRUE; current evidence remains distributional rather than source-unit evidence."
"caece8493dbff8bb31f0bc7100eb5e4b92b5dc9667b82a8cfac7f196932c71e0","stem_specific_density_01","adjudicator","pilot_20260814T202200Z_adj","insufficient_evidence","","","","","","","","","agent_consensus","Both accepted blind reviews identically recommend insufficient_evidence without a correction selector. Deterministic outcome 'investigate_unit_pattern' and historical comparison 'no_historical_candidate' do not provide source documentation for an exclusion or scale decision.","pilot_candidate_recommendations.csv; pilot_dataset_evidence.csv; pilot_record_evidence.csv; pilot_proposal_diagnostics.csv; pilot_historical_comparison.csv","No disagreement in recommendation or correction-selector fields between the two accepted blind reviews. Possible unit pattern: TRUE; historical summary stable: FALSE; current evidence remains distributional rather than source-unit evidence."
